,target,ratio
0,Benign familial neonatal epilepsy (BFNE),61
1,Early myoclonic encephalopathy (EME),70
2,Ohtahara syndrome,71
3,Myoclonic encephalopathy in nonprogressive disorders,62
4,Benign infantile epilepsy,73
5,Epilepsy of infancy with migrating focal seizures,88
6,Benign familial infantile epilepsy,71
7,Myoclonic epilepsy in infancy (MEI),66
8,Dravet syndrome,73
9,West syndrome,85
10,Epilepsy with myoclonic atonic (previously astatic) seizures,88
11,Late onset childhood occipital epilepsy (Gastaut type),67
12,Childhood absence epilepsy (CAE),68
13,Epilepsy with myoclonic absences,69
14,Landau-Kleffner syndrome (LKS),56
15,Lennox-Gastaut syndrome,100
16,Panayiotopoulos syndrome,59
17,Other familial temporal lobe epilepsies,72
18,Epilepsy with generalized tonicclonic seizures alone,91
19,Juvenile absence epilepsy (JAE),65
20,Autosomal dominant epilepsy with auditory features (ADEAF),62
21,Juvenile myoclonic epilepsy (JME),61
22,Gelastic seizures with hypothalamic hamartoma,88
23,Reflex epilepsies,69
24,Rasmussen syndrome,73
25,central epilepsy,88
26,supplementary motor area,83
27,Temporoparietal junction,78
28,frontal epilepsy,84
29,insular epilepsy,75
30,multifocal epilepsy,89
31,occipital epilepsy,89
32,parietal epilepsy,91
33,temporal epilepsy,100
34,external temporal epilepsy,88
35,Mesial temporal lobe epilepsy with hippocampal sclerosis (MTLE with HS),62
36,Mesial temporal lobe epilepsy without  hippocampal sclerosis (MTLE with HS),66
37,temporal occipital epilepsy,83
38,temporal epilepsy without precise location,75
39,Other location,86
40,Unkown location,67
